연도,학년,과목,문형,문항번호,성취기준_코드,시대,문제형식,세부형식,자료핵심요소,정답,정답핵심요소,이미지경로,원본PDF,처리일시
2026(2027),고3,한국사,6월모평,1,10한사1-01-01,삼국시대 이전,계획서형,동아리 답사 계획서,"암사동 유적, 빗살무늬 토기, 신석기 농경 시작",2,간석기 제작,output/images/mock/2026(2027)_고3_한국사_6월모평_1.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
2026(2027),고3,한국사,6월모평,2,10한사1-01-03,조선,영상자료형,뉴스·다큐 화면,"건원릉, 이성계, 조선 건국, 함흥 억새",5,위화도 회군,output/images/mock/2026(2027)_고3_한국사_6월모평_2.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
2026(2027),고3,한국사,6월모평,3,10한사1-01-01,남북국시대,자료 제시형,시기 비교 사료,"김춘추 당 사신, 나당 동맹, 신문왕 녹읍 폐지",2,신라의 당군 축출,output/images/mock/2026(2027)_고3_한국사_6월모평_3.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
2026(2027),고3,한국사,6월모평,4,10한사1-02-04,고려,자료 제시형,복수 사료,"국자감, 사학 12도, 문헌공도, 개경, 과거",1,삼국사기 편찬,output/images/mock/2026(2027)_고3_한국사_6월모평_4.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
2026(2027),고3,한국사,6월모평,5,10한사1-01-02,고려,역사 신문형,발굴 기사·연표,"삼별초, 최씨 정권, 진도 용장성, 몽골 항쟁",4,무신 정변~경국대전 사이(라),output/images/mock/2026(2027)_고3_한국사_6월모평_5.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
2026(2027),고3,한국사,6월모평,6,10한사1-02-02,조선,자료 제시형,공인 선정 문서,"대동법, 선혜청, 공인, 공납의 미포전 납부",5,상평통보 전국 유통,output/images/mock/2026(2027)_고3_한국사_6월모평_6.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
2026(2027),고3,한국사,6월모평,7,10한사1-03-02,개항기,자료 제시형,단일 사료,"갑신정변, 김옥균, 박영효, 청과의 관계 단절",3,톈진 조약 체결,output/images/mock/2026(2027)_고3_한국사_6월모평_7.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
2026(2027),고3,한국사,6월모평,8,10한사1-03-04,개항기,자료 제시형,독립유공자 정보 포털,"이상설, 을사늑약, 외교권 박탈, 헤이그 특사",2,통감부 설치,output/images/mock/2026(2027)_고3_한국사_6월모평_8.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
2026(2027),고3,한국사,6월모평,9,10한사1-03-01,개항기,자료 제시형,디지털 아카이브 사료,"운요호 사건, 강화도 조약, 신헌, 연무당 회담",5,부산 외 2항 개항,output/images/mock/2026(2027)_고3_한국사_6월모평_9.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
2026(2027),고3,한국사,6월모평,10,10한사1-03-02,개항기,자료 제시형,여행기·해설,"동학 농민 운동, 전봉준, 동학군",3,전주 화약,output/images/mock/2026(2027)_고3_한국사_6월모평_10.png,input/pdf/모평/(2027)한국사(6월모평)검사지.pdf,2026-07-12T11:53:57+09:00
